2026-07-03 20:19:56,611 | INFO | 2. Random Forest       44.94%
2026-07-03 20:19:56,612 | INFO | 3. XGBoost             44.38%
2026-07-03 20:19:56,612 | INFO | =============================================
2026-07-03 20:19:56,612 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 20:19:56,619 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 20:19:56,642 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:19:56,646 | INFO | 
2026-07-03 20:19:56,646 | INFO | ========== Prediction ==========
2026-07-03 20:19:56,646 | INFO | Signal      : 🔴 SELL
2026-07-03 20:19:56,646 | INFO | Confidence  : 56.43%
2026-07-03 20:19:56,647 | INFO | ===============================
2026-07-03 20:19:56,648 | INFO | สร้าง Strategy สำเร็จ
2026-07-03 20:19:56,648 | INFO | ผ่านระบบ Confidence Filter
2026-07-03 20:29:53,197 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:29:53,198 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:29:53,939 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:29:53,953 | INFO | 💾 บันทึกข้อมูล -> data/20260703_202953.csv
2026-07-03 20:29:54,557 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:29:54,557 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:29:54,557 | INFO | เริ่ม AI Tournament
2026-07-03 20:29:54,561 | INFO | กำลัง Train Random Forest
2026-07-03 20:29:55,267 | INFO | กำลัง Train Gradient Boosting
2026-07-03 20:29:55,837 | INFO | กำลัง Train XGBoost
2026-07-03 20:29:55,992 | INFO | 
2026-07-03 20:29:55,992 | INFO | =============================================
2026-07-03 20:29:55,992 | INFO | 🏆 AI Leaderboard
2026-07-03 20:29:55,992 | INFO | =============================================
2026-07-03 20:29:55,993 | INFO | 1. Gradient Boosting   47.19%
2026-07-03 20:29:55,993 | INFO | 2. Random Forest       44.94%
2026-07-03 20:29:55,993 | INFO | 3. XGBoost             44.38%
2026-07-03 20:29:55,993 | INFO | =============================================
2026-07-03 20:29:55,993 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 20:29:56,002 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 20:29:56,027 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:29:56,032 | INFO | 
2026-07-03 20:29:56,032 | INFO | ========== Prediction ==========
2026-07-03 20:29:56,032 | INFO | Signal      : 🟢 BUY
2026-07-03 20:29:56,033 | INFO | Confidence  : 53.21%
2026-07-03 20:29:56,033 | INFO | ===============================
2026-07-03 20:29:56,033 | INFO | Confidence Filter : ⚪ NO TRADE (53.21%)
2026-07-03 20:46:45,697 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:46:45,697 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:46:46,578 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:46:46,596 | INFO | 💾 บันทึกข้อมูล -> data/20260703_204646.csv
2026-07-03 20:46:47,113 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:46:47,113 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:46:47,121 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:46:47,153 | INFO | 
2026-07-03 20:46:47,153 | INFO | ========== Prediction ==========
2026-07-03 20:46:47,153 | INFO | Signal      : 🟢 BUY
2026-07-03 20:46:47,154 | INFO | Confidence  : 53.21%
2026-07-03 20:46:47,154 | INFO | ===============================
2026-07-03 20:46:47,154 | INFO | Confidence Filter : ⚪ NO TRADE (53.21%)
2026-07-03 20:50:28,268 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:50:28,269 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:50:29,055 | INFO | โหลดสำเร็จ (1827 แถว)
